postal_code,zone
10021,6
10431,6
10432,6
10433,6
10434,6
10435,6
10436,6
10437,6
10438,6
10439,6
10440,6
10441,6
10442,6
10443,6
10444,6
10445,6
10446,6
10447,6
10551,6
10552,6
10553,6
10554,6
10555,6
10556,6
10557,6
10558,6
10559,6
10560,6
10561,6
10562,6
10563,6
10564,6
10671,6
10672,6
10673,6
10674,6
10675,6
10676,6
10677,6
10678,6
10679,6
10680,6
10681,6
10682,6
10683,6
11141,6
11142,6
11143,6
11144,6
11145,6
11146,6
11147,6
11251,6
11252,6
11253,6
11254,6
11255,6
11256,6
11257,6
11361,6
11362,6
11363,6
11364,6
11471,6
11472,6
11473,6
11474,6
11475,6
11476,6
11521,6
11522,6
11523,6
11524,6
11525,6
11526,6
11527,6
11528,6
11631,6
11632,6
11633,6
11634,6
11635,6
11636,6
11741,6
11742,6
11743,6
11744,6
11745,6
11851,6
11852,6
11853,6
11854,6
11855,6
12131,6
12132,6
12133,6
12134,6
12135,6
12136,6
12137,6
12241,6
12242,6
12243,6
12244,6
12351,6
12461,6
12462,6
13121,6
13122,6
13123,6
13231,6
13232,6
13341,6
13342,6
13343,6
13344,6
13351,6
13451,6
13461,6
13501,6
13561,6
13562,6
13671,6
13672,6
13673,6
13674,6
13675,6
13676,6
13677,6
13678,6
13679,6
14121,6
14122,6
14123,6
14231,6
14232,6
14233,6
14234,6
14235,6
14341,6
14342,6
14343,6
14451,6
14452,6
14561,6
14562,6
14563,6
14564,6
14565,6
14568,6
14569,6
14572,6
14574,6
14575,6
14576,6
14578,6
14671,6
15121,6
15122,6
15123,6
15124,6
15125,6
15126,6
15127,6
15231,6
15232,6
15233,6
15234,6
15235,6
15236,6
15237,6
15238,6
15341,6
15342,6
15343,6
15344,6
15349,6
15351,6
15354,6
15451,6
15452,6
15561,6
15562,6
15669,6
15771,6
15772,6
15773,6
15780,6
16121,6
16122,6
16231,6
16232,6
16233,6
16341,6
16342,6
16343,6
16344,6
16345,6
16346,6
16451,6
16452,6
16561,6
16562,6
16671,6
16672,6
16673,6
16674,6
16675,6
16777,6
17121,6
17122,6
17123,6
17124,6
17234,6
17235,6
17236,6
17237,6
17341,6
17342,6
17343,6
17455,6
17456,6
17561,6
17562,6
17563,6
17564,6
17671,6
17672,6
17673,6
17674,6
17675,6
17676,6
17778,6
18010,6
18020,6
18030,6
18040,6
18050,6
18120,6
18121,6
18122,6
18233,6
18344,6
18345,6
18346,6
18450,6
18451,6
18452,6
18453,6
18454,6
18510,6
18531,6
18532,6
18533,6
18534,6
18535,6
18536,6
18537,6
18538,6
18539,6
18540,6
18541,6
18542,6
18543,6
18544,6
18545,6
18546,6
18547,6
18648,6
18755,6
18756,6
18757,6
18758,6
18863,6
18900,6
18901,6
18902,6
18903,6
19001,6
19002,6
19003,6
19004,6
19005,6
19006,6
19007,6
19008,6
19009,6
19010,6
19011,6
19012,6
19013,6
19014,5
19015,6
19016,6
19018,6
19100,6
19200,6
19300,6
19400,6
19500,6
19600,6
20000,3
20001,3
20002,3
20003,3
20004,3
20005,3
20006,3
20007,3
20008,3
20009,3
20010,3
20011,3
20012,3
20013,3
20014,3
20015,3
20016,3
20017,3
20100,2
20200,3
20300,3
20400,3
20500,3
21051,3
21052,3
21053,3
21054,3
21055,3
21056,3
21057,3
21058,3
21059,3
21060,3
21061,3
21100,2
21200,3
21300,3
22001,3
22002,3
22003,3
22004,3
22005,3
22006,3
22007,3
22008,3
22009,3
22010,3
22011,3
22012,3
22013,3
22014,3
22015,3
22016,3
22017,3
22018,3
22019,3
22020,3
22021,3
22022,3
22024,3
22025,3
22026,3
22027,3
22028,3
22029,3
22100,2
22200,3
22300,3
23051,3
23052,3
23053,3
23054,3
23055,3
23056,3
23057,3
23058,3
23059,3
23060,3
23061,3
23062,3
23063,3
23064,3
23065,3
23066,3
23067,3
23068,3
23069,3
23070,3
23071,3
23100,2
23200,3
24001,3
24002,3
24003,3
24004,3
24005,3
24006,3
24007,3
24008,3
24009,3
24010,3
24011,3
24012,3
24013,3
24014,3
24015,3
24016,3
24017,3
24018,3
24019,3
24020,3
24021,3
24022,3
24023,3
24024,3
24100,2
24101,3
24200,3
24300,3
24400,3
24500,3
24600,3
25001,3
25002,3
25003,3
25004,3
25005,3
25006,3
25007,3
25008,3
25009,3
25010,3
25011,3
25012,3
25013,3
25014,3
25015,3
25016,3
25017,3
25018,3
25100,3
25200,3
26221,2
26222,2
26223,2
26224,2
26225,2
26226,3
26331,2
26332,2
26333,2
26334,2
26335,2
26441,2
26442,2
26443,2
26444,2
26500,2
26504,2
27050,3
27051,3
27052,3
27053,3
27054,3
27055,3
27056,3
27057,3
27058,3
27059,3
27060,3
27061,3
27062,3
27063,3
27064,3
27065,3
27066,3
27067,3
27068,3
27069,3
27100,2
27200,3
27300,3
28080,4
28081,4
28082,4
28083,4
28084,4
28085,4
28086,4
28100,4
28200,4
28300,4
28301,4
29090,4
29091,4
29092,4
29100,4
30000,3
30001,3
30002,3
30003,3
30004,3
30005,3
30006,3
30007,3
30008,3
30009,3
30010,3
30011,3
30012,3
30013,3
30014,3
30015,3
30016,3
30017,3
30018,3
30019,3
30020,3
30021,3
30022,3
30023,3
30024,3
30025,3
30026,3
30027,3
30100,2
30200,2
30214,3
30300,2
30400,3
30500,3
31080,3
31081,3
31082,3
31083,3
31084,3
31100,3
32001,3
32002,3
32003,3
